prev_time,next_time,delta_hours,history_csv_range_covers_gap,exact_gap_screenshot_present,fresh_refresh_manifest_complete,exact_xm_schedule_present,acceptance_state,block_reason
2023-01-16 21:00:00,2023-01-17 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2023-02-20 21:00:00,2023-02-21 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2023-04-06 23:00:00,2023-04-10 01:00:00,74,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2023-05-29 21:00:00,2023-05-30 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2023-06-19 21:00:00,2023-06-20 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2023-07-04 21:00:00,2023-07-05 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2023-09-04 21:00:00,2023-09-05 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2023-11-23 21:00:00,2023-11-24 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2023-12-22 23:00:00,2023-12-26 01:00:00,74,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2023-12-29 23:00:00,2024-01-02 01:00:00,74,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-01-15 21:00:00,2024-01-16 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-02-19 21:00:00,2024-02-20 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-03-28 22:00:00,2024-04-01 01:00:00,75,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-05-27 21:00:00,2024-05-28 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-06-19 21:00:00,2024-06-20 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-07-04 21:00:00,2024-07-05 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-09-02 21:00:00,2024-09-03 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-11-28 21:00:00,2024-11-29 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-12-24 20:00:00,2024-12-26 08:00:00,36,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2024-12-31 20:00:00,2025-01-02 08:00:00,36,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2025-01-20 21:00:00,2025-01-21 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2025-02-17 21:00:00,2025-02-18 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2025-04-17 23:00:00,2025-04-21 01:00:00,74,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2025-05-26 21:00:00,2025-05-27 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2025-06-19 21:00:00,2025-06-20 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2025-09-01 21:00:00,2025-09-02 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2025-11-27 21:00:00,2025-11-28 01:00:00,4,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
2025-12-24 19:00:00,2025-12-26 08:00:00,37,true,false,false,false,CONTEXT_ONLY,MISSING_EQ_LAYERS_A_AND_B
