accepted,losing_streak_blocks,max_open_order_blocks,month,no_strategy_signal,phase,spread_blocks,total_events,unsafe_regime_blocks
21,0,36,2026-01,356,out_of_sample,26,496,57
18,0,39,2026-02,319,out_of_sample,36,480,68
23,1,33,2026-03,332,out_of_sample,35,528,104
0,64,0,2026-04,381,out_of_sample,32,528,51
0,39,0,2026-05,341,out_of_sample,32,504,92
0,39,0,2026-06,193,out_of_sample,21,312,59
22,3,34,2023-01,330,train,41,519,89
0,75,0,2023-02,366,train,20,480,19
0,96,0,2023-03,388,train,31,552,37
0,48,0,2023-04,368,train,23,480,41
0,84,0,2023-05,360,train,27,552,81
0,66,0,2023-06,378,train,26,528,58
0,66,0,2023-07,353,train,24,504,61
0,76,0,2023-08,395,train,24,552,57
0,71,0,2023-09,335,train,24,504,74
0,63,0,2023-10,359,train,25,529,82
0,85,0,2023-11,381,train,22,527,39
0,48,0,2023-12,332,train,20,480,80
0,48,0,2024-01,381,train,22,528,77
0,41,0,2024-02,357,train,22,504,84
0,77,0,2024-03,322,train,25,504,80
0,77,0,2024-04,377,train,20,528,54
0,83,0,2024-05,386,train,21,552,62
0,59,0,2024-06,318,train,24,480,79
0,63,0,2024-07,382,train,22,552,85
0,64,0,2024-08,338,train,23,528,103
0,60,0,2024-09,350,train,18,504,76
0,81,0,2024-10,345,train,25,553,102
0,66,0,2024-11,403,train,27,503,7
0,58,0,2024-12,303,train,28,469,80
21,0,64,2025-01,364,validation,25,520,46
28,0,66,2025-02,326,validation,25,480,35
22,0,50,2025-03,375,validation,25,504,32
19,0,23,2025-04,350,validation,47,528,86
15,38,37,2025-05,397,validation,33,528,8
0,67,0,2025-06,337,validation,32,504,68
0,66,0,2025-07,380,validation,26,552,80
0,49,0,2025-08,364,validation,25,504,66
0,79,0,2025-09,356,validation,31,528,62
0,68,0,2025-10,398,validation,33,552,53
0,56,0,2025-11,333,validation,24,480,67
0,44,0,2025-12,328,validation,22,492,98
